date,atm_id,location_type,net_cash_out,num_withdrawals,is_holiday,replenishment,start_balance,end_of_day_balance,stockout
2021-01-26,ATM001,metro_retail,726600,227,1,0,1444000,717400,0
2021-01-26,ATM002,urban_residential,429100,134,1,0,1528100,1099000,0
2021-01-26,ATM003,corporate_park,612300,191,1,0,1728600,1116300,0
2021-01-26,ATM004,rural_branch,250600,78,1,833000,1270500,1019900,0
2021-01-26,ATM005,transit_hub,890400,278,1,0,1393000,502600,0
2021-01-27,ATM001,metro_retail,702100,219,0,2823000,3540400,2838400,0
2021-01-27,ATM002,urban_residential,417900,131,0,0,1099000,681100,0
2021-01-27,ATM003,corporate_park,434200,136,0,0,1116300,682200,0
2021-01-27,ATM004,rural_branch,299600,94,0,0,1019900,720300,0
2021-01-27,ATM005,transit_hub,725300,227,0,3177000,3679600,2954200,0
2021-01-28,ATM001,metro_retail,779700,244,0,0,2838400,2058700,0
2021-01-28,ATM002,urban_residential,406400,127,0,1349000,2030100,1623700,0
2021-01-28,ATM003,corporate_park,492100,154,0,1668000,2350200,1858000,0
2021-01-28,ATM004,rural_branch,267200,83,0,0,720300,453100,0
2021-01-28,ATM005,transit_hub,836300,261,0,0,2954200,2118000,0
2021-01-29,ATM001,metro_retail,1378300,431,0,0,2058700,680400,0
2021-01-29,ATM002,urban_residential,726000,227,0,0,1623700,897700,0
2021-01-29,ATM003,corporate_park,985100,308,0,0,1858000,873000,0
2021-01-29,ATM004,rural_branch,453100,142,0,0,453100,0,1
2021-01-29,ATM005,transit_hub,1442300,451,0,0,2118000,675600,0
2021-01-30,ATM001,metro_retail,1919500,600,0,2860000,3540400,1620800,0
2021-01-30,ATM002,urban_residential,897700,281,0,0,897700,0,1
2021-01-30,ATM003,corporate_park,873000,273,0,0,873000,0,1
2021-01-30,ATM004,rural_branch,814100,254,0,1270000,1270000,455900,0
2021-01-30,ATM005,transit_hub,1980200,619,0,3004000,3679600,1699500,0
2021-01-31,ATM001,metro_retail,1579700,494,0,0,1620800,41100,0
2021-01-31,ATM002,urban_residential,880800,275,0,2030000,2030000,1149200,0
2021-01-31,ATM003,corporate_park,1090800,341,0,2350000,2350000,1259200,0
2021-01-31,ATM004,rural_branch,455900,142,0,0,455900,0,1
2021-01-31,ATM005,transit_hub,1634200,511,0,0,1699500,65300,0
2021-02-01,ATM001,metro_retail,1515800,474,0,3499000,3540100,2024300,0
2021-02-01,ATM002,urban_residential,700100,219,0,0,1149200,449100,0
2021-02-01,ATM003,corporate_park,877000,274,0,0,1259200,382200,0
2021-02-01,ATM004,rural_branch,456300,143,0,1270000,1270000,813700,0
2021-02-01,ATM005,transit_hub,1432700,448,0,3615000,3680300,2247600,0
2021-02-02,ATM001,metro_retail,1010800,316,0,0,2024300,1013600,0
2021-02-02,ATM002,urban_residential,588200,184,0,1581000,2030100,1441900,0
2021-02-02,ATM003,corporate_park,588900,184,0,1968000,2350200,1761300,0
2021-02-02,ATM004,rural_branch,361400,113,0,0,813700,452300,0
2021-02-02,ATM005,transit_hub,1163200,364,0,0,2247600,1084400,0
2021-02-03,ATM001,metro_retail,845700,264,0,2526000,3539600,2693900,0
2021-02-03,ATM002,urban_residential,541400,169,0,0,1441900,900500,0
2021-02-03,ATM003,corporate_park,510400,159,0,0,1761300,1250900,0
2021-02-03,ATM004,rural_branch,311100,97,0,0,452300,141100,0
2021-02-03,ATM005,transit_hub,962300,301,0,2596000,3680400,2718200,0
2021-02-04,ATM001,metro_retail,743600,232,0,0,2693900,1950300,0
2021-02-04,ATM002,urban_residential,422500,132,0,0,900500,477900,0
2021-02-04,ATM003,corporate_park,489500,153,0,0,1250900,761400,0
2021-02-04,ATM004,rural_branch,264600,83,0,1129000,1270100,1005500,0
2021-02-04,ATM005,transit_hub,720900,225,0,0,2718200,1997300,0
2021-02-05,ATM001,metro_retail,1029500,322,0,0,1950300,920800,0
2021-02-05,ATM002,urban_residential,606800,190,0,1552000,2029900,1423200,0
2021-02-05,ATM003,corporate_park,766800,240,0,1589000,2350400,1583600,0
2021-02-05,ATM004,rural_branch,383000,120,0,0,1005500,622500,0
2021-02-05,ATM005,transit_hub,1136900,355,0,0,1997300,860400,0
2021-02-06,ATM001,metro_retail,1499300,469,0,2619000,3539800,2040600,0
2021-02-06,ATM002,urban_residential,828100,259,0,0,1423200,595000,0
2021-02-06,ATM003,corporate_park,969500,303,0,0,1583600,614200,0
2021-02-06,ATM004,rural_branch,444500,139,0,0,622500,178100,0
2021-02-06,ATM005,transit_hub,1430700,447,0,2820000,3680400,2249700,0
2021-02-07,ATM001,metro_retail,1249600,391,0,0,2040600,790900,0
2021-02-07,ATM002,urban_residential,758300,237,0,1435000,2030000,1271700,0
2021-02-07,ATM003,corporate_park,726300,227,0,1736000,2350200,1623800,0
2021-02-07,ATM004,rural_branch,507300,159,0,1092000,1270100,762800,0
2021-02-07,ATM005,transit_hub,1415700,442,0,0,2249700,833900,0
2021-02-08,ATM001,metro_retail,907000,283,0,2749000,3539900,2632900,0
2021-02-08,ATM002,urban_residential,554400,173,0,0,1271700,717300,0
2021-02-08,ATM003,corporate_park,651400,204,0,0,1623800,972400,0
2021-02-08,ATM004,rural_branch,363600,114,0,0,762800,399200,0
2021-02-08,ATM005,transit_hub,1018900,318,0,2846000,3679900,2661000,0
2021-02-09,ATM001,metro_retail,755700,236,0,0,2632900,1877200,0
2021-02-09,ATM002,urban_residential,462200,144,0,0,717300,255100,0
2021-02-09,ATM003,corporate_park,487400,152,0,0,972400,485000,0
2021-02-09,ATM004,rural_branch,253300,79,0,871000,1270200,1016900,0
2021-02-09,ATM005,transit_hub,776000,243,0,0,2661000,1885000,0
2021-02-10,ATM001,metro_retail,672900,210,0,0,1877200,1204300,0
2021-02-10,ATM002,urban_residential,410900,128,0,1775000,2030100,1619200,0
2021-02-10,ATM003,corporate_park,415800,130,0,1865000,2350000,1934200,0
2021-02-10,ATM004,rural_branch,245700,77,0,0,1016900,771100,0
2021-02-10,ATM005,transit_hub,648700,203,0,0,1885000,1236400,0
2021-02-11,ATM001,metro_retail,756800,237,0,2336000,3540300,2783500,0
2021-02-11,ATM002,urban_residential,434900,136,0,0,1619200,1184300,0
2021-02-11,ATM003,corporate_park,620200,194,0,0,1934200,1314000,0
2021-02-11,ATM004,rural_branch,295200,92,0,0,771100,476000,0
2021-02-11,ATM005,transit_hub,708100,221,0,2444000,3680400,2972300,0
2021-02-12,ATM001,metro_retail,970500,303,0,0,2783500,1813000,0
2021-02-12,ATM002,urban_residential,639800,200,0,0,1184300,544500,0
2021-02-12,ATM003,corporate_park,731600,229,0,0,1314000,582400,0
2021-02-12,ATM004,rural_branch,368500,115,0,0,476000,107500,0
2021-02-12,ATM005,transit_hub,1252100,391,0,0,2972300,1720100,0
2021-02-13,ATM001,metro_retail,1329000,415,0,0,1813000,484000,0
2021-02-13,ATM002,urban_residential,780200,244,0,1485000,2029500,1249300,0
2021-02-13,ATM003,corporate_park,973100,304,0,1768000,2350400,1377300,0
2021-02-13,ATM004,rural_branch,493100,154,0,1163000,1270500,777400,0
2021-02-13,ATM005,transit_hub,1463900,457,0,0,1720100,256200,0
2021-02-14,ATM001,metro_retail,1137700,356,0,3056000,3540000,2402300,0
2021-02-14,ATM002,urban_residential,639000,200,0,0,1249300,610300,0
2021-02-14,ATM003,corporate_park,980200,306,0,0,1377300,397000,0
2021-02-14,ATM004,rural_branch,438000,137,0,0,777400,339300,0
2021-02-14,ATM005,transit_hub,1398600,437,0,3424000,3680200,2281600,0
2021-02-15,ATM001,metro_retail,1028800,322,0,0,2402300,1373500,0
2021-02-15,ATM002,urban_residential,611000,191,0,1420000,2030300,1419300,0
2021-02-15,ATM003,corporate_park,648500,203,0,1953000,2350000,1701500,0
2021-02-15,ATM004,rural_branch,427100,133,0,931000,1270300,843200,0
2021-02-15,ATM005,transit_hub,1148200,359,0,0,2281600,1133400,0
2021-02-16,ATM001,metro_retail,777300,243,0,0,1373500,596200,0
2021-02-16,ATM002,urban_residential,369100,115,0,0,1419300,1050100,0
2021-02-16,ATM003,corporate_park,474300,148,0,0,1701500,1227200,0
2021-02-16,ATM004,rural_branch,256700,80,0,0,843200,586600,0
2021-02-16,ATM005,transit_hub,723000,226,0,2547000,3680400,2957400,0
2021-02-17,ATM001,metro_retail,703100,220,0,2944000,3540200,2837200,0
2021-02-17,ATM002,urban_residential,463600,145,0,0,1050100,586600,0
2021-02-17,ATM003,corporate_park,522500,163,0,0,1227200,704700,0
2021-02-17,ATM004,rural_branch,248900,78,0,0,586600,337700,0
2021-02-17,ATM005,transit_hub,649900,203,0,0,2957400,2307500,0
2021-02-18,ATM001,metro_retail,783600,245,0,0,2837200,2053500,0
2021-02-18,ATM002,urban_residential,448700,140,0,1443000,2029600,1580900,0
2021-02-18,ATM003,corporate_park,453000,142,0,1645000,2349700,1896800,0
2021-02-18,ATM004,rural_branch,275400,86,0,932000,1269700,994300,0
2021-02-18,ATM005,transit_hub,837200,262,0,0,2307500,1470300,0
2021-02-19,ATM001,metro_retail,1096500,343,0,0,2053500,957100,0
2021-02-19,ATM002,urban_residential,610400,191,0,0,1580900,970600,0
2021-02-19,ATM003,corporate_park,719600,225,0,0,1896800,1177200,0
2021-02-19,ATM004,rural_branch,375000,117,0,0,994300,619300,0
2021-02-19,ATM005,transit_hub,1168000,365,0,0,1470300,302200,0
2021-02-20,ATM001,metro_retail,1515800,474,0,2583000,3540100,2024300,0
2021-02-20,ATM002,urban_residential,802500,251,0,0,970600,168100,0
2021-02-20,ATM003,corporate_park,907600,284,0,0,1177200,269600,0
2021-02-20,ATM004,rural_branch,462600,145,0,0,619300,156700,0
2021-02-20,ATM005,transit_hub,1689600,528,0,3378000,3680200,1990600,0
2021-02-21,ATM001,metro_retail,1243800,389,0,0,2024300,780500,0
2021-02-21,ATM002,urban_residential,782500,245,0,1862000,2030100,1247600,0
2021-02-21,ATM003,corporate_park,849500,265,0,2080000,2349600,1500200,0
2021-02-21,ATM004,rural_branch,403100,126,0,1113000,1269700,866600,0
2021-02-21,ATM005,transit_hub,1237900,387,0,0,1990600,752800,0
2021-02-22,ATM001,metro_retail,928800,290,0,2760000,3540500,2611700,0
2021-02-22,ATM002,urban_residential,488400,153,0,0,1247600,759100,0
2021-02-22,ATM003,corporate_park,644700,201,0,0,1500200,855500,0
2021-02-22,ATM004,rural_branch,365900,114,0,0,866600,500700,0
2021-02-22,ATM005,transit_hub,1007900,315,0,2927000,3679800,2671800,0
2021-02-23,ATM001,metro_retail,682000,213,0,0,2611700,1929700,0
2021-02-23,ATM002,urban_residential,380200,119,0,0,759100,379000,0
2021-02-23,ATM003,corporate_park,453000,142,0,0,855500,402500,0
2021-02-23,ATM004,rural_branch,244100,76,0,0,500700,256600,0
2021-02-23,ATM005,transit_hub,653600,204,0,0,2671800,2018200,0
2021-02-24,ATM001,metro_retail,744200,233,0,0,1929700,1185500,0
2021-02-24,ATM002,urban_residential,392600,123,0,1651000,2030000,1637400,0
2021-02-24,ATM003,corporate_park,499000,156,0,1948000,2350500,1851500,0
2021-02-24,ATM004,rural_branch,254600,80,0,1013000,1269600,1015000,0
2021-02-24,ATM005,transit_hub,709500,222,0,0,2018200,1308800,0
2021-02-25,ATM001,metro_retail,790500,247,0,2355000,3540500,2750000,0
2021-02-25,ATM002,urban_residential,414900,130,0,0,1637400,1222500,0
2021-02-25,ATM003,corporate_park,550100,172,0,0,1851500,1301400,0
2021-02-25,ATM004,rural_branch,267400,84,0,0,1015000,747600,0
2021-02-25,ATM005,transit_hub,820600,256,0,0,1308800,488200,0
2021-02-26,ATM001,metro_retail,1521200,475,0,0,2750000,1228800,0
2021-02-26,ATM002,urban_residential,730500,228,0,0,1222500,492000,0
2021-02-26,ATM003,corporate_park,845900,264,0,0,1301400,455500,0
2021-02-26,ATM004,rural_branch,444400,139,0,0,747600,303200,0
2021-02-26,ATM005,transit_hub,1418200,443,0,3192000,3680200,2262000,0
2021-02-27,ATM001,metro_retail,1845900,577,0,2311000,3539800,1693900,0
2021-02-27,ATM002,urban_residential,1051800,329,0,1538000,2030000,978200,0
2021-02-27,ATM003,corporate_park,1105000,345,0,1895000,2350500,1245400,0
2021-02-27,ATM004,rural_branch,633500,198,0,967000,1270200,636800,0
2021-02-27,ATM005,transit_hub,1782500,557,0,0,2262000,479600,0
2021-02-28,ATM001,metro_retail,1693900,529,0,0,1693900,0,1
2021-02-28,ATM002,urban_residential,909300,284,0,0,978200,68800,0
2021-02-28,ATM003,corporate_park,965700,302,0,0,1245400,279700,0
2021-02-28,ATM004,rural_branch,636800,199,0,0,636800,0,1
2021-02-28,ATM005,transit_hub,1834000,573,0,3200000,3679600,1845500,0
2021-03-01,ATM001,metro_retail,1298500,406,0,3540000,3540000,2241500,0
2021-03-01,ATM002,urban_residential,715500,224,0,1961000,2029800,1314400,0
2021-03-01,ATM003,corporate_park,813200,254,0,2070000,2349700,1536500,0
2021-03-01,ATM004,rural_branch,468000,146,0,1270000,1270000,802000,0
2021-03-01,ATM005,transit_hub,1653200,517,0,0,1845500,192400,0
2021-03-02,ATM001,metro_retail,1078100,337,0,0,2241500,1163400,0
2021-03-02,ATM002,urban_residential,623400,195,0,0,1314400,691000,0
2021-03-02,ATM003,corporate_park,731200,228,0,0,1536500,805300,0
2021-03-02,ATM004,rural_branch,326700,102,0,0,802000,475400,0
2021-03-02,ATM005,transit_hub,937300,293,0,3488000,3680400,2743100,0
2021-03-03,ATM001,metro_retail,888600,278,0,2377000,3540400,2651800,0
2021-03-03,ATM002,urban_residential,464700,145,0,1339000,2030000,1565300,0
2021-03-03,ATM003,corporate_park,555400,174,0,1545000,2350300,1794900,0
2021-03-03,ATM004,rural_branch,302700,95,0,0,475400,172700,0
2021-03-03,ATM005,transit_hub,939400,294,0,0,2743100,1803700,0
2021-03-04,ATM001,metro_retail,750200,234,0,0,2651800,1901600,0
2021-03-04,ATM002,urban_residential,386800,121,0,0,1565300,1178500,0
2021-03-04,ATM003,corporate_park,497500,155,0,0,1794900,1297400,0
2021-03-04,ATM004,rural_branch,271700,85,0,1097000,1269700,998000,0
2021-03-04,ATM005,transit_hub,778300,243,0,0,1803700,1025300,0
2021-03-05,ATM001,metro_retail,1017500,318,0,0,1901600,884200,0
2021-03-05,ATM002,urban_residential,619600,194,0,0,1178500,558900,0
2021-03-05,ATM003,corporate_park,651800,204,0,0,1297400,645600,0
2021-03-05,ATM004,rural_branch,400100,125,0,0,998000,597800,0
2021-03-05,ATM005,transit_hub,1264900,395,0,2655000,3680300,2415400,0
2021-03-06,ATM001,metro_retail,1411800,441,0,2656000,3540200,2128400,0
2021-03-06,ATM002,urban_residential,789600,247,0,1471000,2029900,1240300,0
2021-03-06,ATM003,corporate_park,873300,273,0,1704000,2349600,1476300,0
2021-03-06,ATM004,rural_branch,490800,153,0,0,597800,107000,0
2021-03-06,ATM005,transit_hub,1500300,469,0,0,2415400,915100,0
2021-03-07,ATM001,metro_retail,1416700,443,0,0,2128400,711700,0
2021-03-07,ATM002,urban_residential,785500,245,0,0,1240300,454800,0
2021-03-07,ATM003,corporate_park,979800,306,0,0,1476300,496500,0
2021-03-07,ATM004,rural_branch,483100,151,0,1163000,1270000,786900,0
2021-03-07,ATM005,transit_hub,1454900,455,0,2765000,3680100,2225200,0
2021-03-08,ATM001,metro_retail,1106800,346,1,2828000,3539700,2432900,0
2021-03-08,ATM002,urban_residential,575800,180,1,1575000,2029800,1454000,0
2021-03-08,ATM003,corporate_park,765500,239,1,1853000,2349500,1584000,0
2021-03-08,ATM004,rural_branch,369000,115,1,0,786900,417900,0
2021-03-08,ATM005,transit_hub,1071500,335,1,0,2225200,1153700,0
2021-03-09,ATM001,metro_retail,757500,237,0,0,2432900,1675400,0
2021-03-09,ATM002,urban_residential,384300,120,0,0,1454000,1069700,0
2021-03-09,ATM003,corporate_park,425700,133,0,0,1584000,1158300,0
2021-03-09,ATM004,rural_branch,268800,84,0,852000,1269900,1001000,0
2021-03-09,ATM005,transit_hub,841900,263,0,2526000,3679700,2837800,0
2021-03-10,ATM001,metro_retail,613100,192,0,0,1675400,1062300,0
2021-03-10,ATM002,urban_residential,392000,123,0,0,1069700,677600,0
2021-03-10,ATM003,corporate_park,418700,131,0,0,1158300,739600,0
2021-03-10,ATM004,rural_branch,261200,82,0,0,1001000,739800,0
2021-03-10,ATM005,transit_hub,728800,228,0,0,2837800,2109000,0
2021-03-11,ATM001,metro_retail,808700,253,0,2478000,3540300,2731600,0
2021-03-11,ATM002,urban_residential,403600,126,0,1352000,2029600,1626000,0
2021-03-11,ATM003,corporate_park,540400,169,0,1610000,2349600,1809200,0
2021-03-11,ATM004,rural_branch,287500,90,0,0,739800,452300,0
2021-03-11,ATM005,transit_hub,936000,293,0,0,2109000,1173000,0
2021-03-12,ATM001,metro_retail,1127400,352,0,0,2731600,1604200,0
2021-03-12,ATM002,urban_residential,626700,196,0,0,1626000,999300,0
2021-03-12,ATM003,corporate_park,684700,214,0,0,1809200,1124500,0
2021-03-12,ATM004,rural_branch,417400,130,0,0,452300,34800,0
2021-03-12,ATM005,transit_hub,1227200,384,0,2507000,3680000,2452800,0
2021-03-13,ATM001,metro_retail,1380500,431,0,0,1604200,223700,0
2021-03-13,ATM002,urban_residential,775400,242,0,0,999300,223900,0
2021-03-13,ATM003,corporate_park,861400,269,0,0,1124500,263100,0
2021-03-13,ATM004,rural_branch,507300,159,0,1235000,1269800,762500,0
2021-03-13,ATM005,transit_hub,1399000,437,0,0,2452800,1053800,0
2021-03-14,ATM001,metro_retail,1140500,356,0,3316000,3539700,2399200,0
2021-03-14,ATM002,urban_residential,732200,229,0,1806000,2029900,1297700,0
2021-03-14,ATM003,corporate_park,721700,226,0,2087000,2350100,1628500,0
2021-03-14,ATM004,rural_branch,501700,157,0,0,762500,260800,0
2021-03-14,ATM005,transit_hub,1316700,411,0,2626000,3679800,2363100,0
2021-03-15,ATM001,metro_retail,1009400,315,0,0,2399200,1389800,0
2021-03-15,ATM002,urban_residential,599900,187,0,0,1297700,697800,0
2021-03-15,ATM003,corporate_park,607600,190,0,0,1628500,1020900,0
2021-03-15,ATM004,rural_branch,389200,122,0,1009000,1269800,880700,0
2021-03-15,ATM005,transit_hub,1127500,352,0,0,2363100,1235600,0
2021-03-16,ATM001,metro_retail,807300,252,0,0,1389800,582400,0
2021-03-16,ATM002,urban_residential,444800,139,0,1332000,2029800,1585000,0
