date,atm_id,location_type,net_cash_out,num_withdrawals,is_holiday,replenishment,end_of_day_balance,stockout
2021-01-11,ATM005,transit_hub,910900,285,0,2316000,2379300,0
2021-01-12,ATM001,metro_retail,727600,227,0,0,1893800,0
2021-01-12,ATM002,urban_residential,412000,129,0,0,1244500,0
2021-01-12,ATM003,corporate_park,597100,187,0,0,1469700,0
2021-01-12,ATM004,rural_branch,267000,83,0,0,623800,0
2021-01-12,ATM005,transit_hub,702500,220,0,0,1676800,0
2021-01-13,ATM001,metro_retail,730100,228,0,0,1163800,0
2021-01-13,ATM002,urban_residential,407800,127,0,0,836700,0
2021-01-13,ATM003,corporate_park,513000,160,0,0,956700,0
2021-01-13,ATM004,rural_branch,262400,82,0,0,361300,0
2021-01-13,ATM005,transit_hub,641700,201,0,0,1035000,0
2021-01-14,ATM001,metro_retail,819800,256,0,2376000,2720000,0
2021-01-14,ATM002,urban_residential,431400,135,0,0,405300,0
2021-01-14,ATM003,corporate_park,736300,230,0,1963000,2183400,0
2021-01-14,ATM004,rural_branch,237700,74,0,879000,1002700,0
2021-01-14,ATM005,transit_hub,618400,193,0,2255000,2671700,0
2021-01-15,ATM001,metro_retail,1125800,352,0,0,1594200,0
2021-01-15,ATM002,urban_residential,683600,214,0,1715000,1436700,0
2021-01-15,ATM003,corporate_park,853800,267,0,0,1329600,0
2021-01-15,ATM004,rural_branch,441700,138,0,0,561000,0
2021-01-15,ATM005,transit_hub,1094600,342,0,0,1577000,0
2021-01-16,ATM001,metro_retail,1361000,425,0,0,233200,0
2021-01-16,ATM002,urban_residential,799000,250,0,0,637700,0
2021-01-16,ATM003,corporate_park,1200400,375,0,0,129200,0
2021-01-16,ATM004,rural_branch,530400,166,0,0,30600,0
2021-01-16,ATM005,transit_hub,1338700,418,0,0,238300,0
2021-01-17,ATM001,metro_retail,1093700,342,0,3307000,2446500,0
2021-01-17,ATM002,urban_residential,686300,214,0,1482000,1433400,0
2021-01-17,ATM003,corporate_park,968400,303,0,2791000,1951800,0
2021-01-17,ATM004,rural_branch,396400,124,0,1209000,843300,0
2021-01-17,ATM005,transit_hub,1035800,324,0,3052000,2254500,0
2021-01-18,ATM001,metro_retail,880600,275,0,0,1565900,0
2021-01-18,ATM002,urban_residential,618200,193,0,0,815200,0
2021-01-18,ATM003,corporate_park,744300,233,0,0,1207500,0
2021-01-18,ATM004,rural_branch,307400,96,0,0,535800,0
2021-01-18,ATM005,transit_hub,869400,272,0,0,1385000,0
2021-01-19,ATM001,metro_retail,812600,254,0,0,753300,0
2021-01-19,ATM002,urban_residential,473300,148,0,0,341900,0
2021-01-19,ATM003,corporate_park,533400,167,0,0,674100,0
2021-01-19,ATM004,rural_branch,296100,93,0,0,239800,0
2021-01-19,ATM005,transit_hub,641400,200,0,0,743600,0
2021-01-20,ATM001,metro_retail,714600,223,0,2787000,2825800,0
2021-01-20,ATM002,urban_residential,391600,122,0,1778000,1728300,0
2021-01-20,ATM003,corporate_park,525200,164,0,2246000,2394900,0
2021-01-20,ATM004,rural_branch,255200,80,0,1000000,984600,0
2021-01-20,ATM005,transit_hub,754500,236,0,2546000,2535100,0
2021-01-21,ATM001,metro_retail,742900,232,0,0,2082900,0
2021-01-21,ATM002,urban_residential,492100,154,0,0,1236300,0
2021-01-21,ATM003,corporate_park,617100,193,0,0,1777800,0
2021-01-21,ATM004,rural_branch,237100,74,0,0,747500,0
2021-01-21,ATM005,transit_hub,767700,240,0,0,1767400,0
2021-01-22,ATM001,metro_retail,1013600,317,0,0,1069300,0
2021-01-22,ATM002,urban_residential,568100,178,0,0,668200,0
2021-01-22,ATM003,corporate_park,847500,265,0,0,930300,0
2021-01-22,ATM004,rural_branch,359500,112,0,0,388000,0
2021-01-22,ATM005,transit_hub,990200,309,0,0,777200,0
2021-01-23,ATM001,metro_retail,1500500,469,0,2471000,2039700,0
2021-01-23,ATM002,urban_residential,776500,243,0,1452000,1343700,0
2021-01-23,ATM003,corporate_park,1230200,384,0,1990000,1690100,0
2021-01-23,ATM004,rural_branch,462900,145,0,852000,777100,0
2021-01-23,ATM005,transit_hub,1304600,408,0,2513000,1985600,0
2021-01-24,ATM001,metro_retail,1361300,425,0,0,678500,0
2021-01-24,ATM002,urban_residential,796800,249,0,0,546900,0
2021-01-24,ATM003,corporate_park,1111500,347,0,0,578600,0
2021-01-24,ATM004,rural_branch,419500,131,0,0,357600,0
2021-01-24,ATM005,transit_hub,1041000,325,0,0,944600,0
2021-01-25,ATM001,metro_retail,922000,288,0,2862000,2618500,0
2021-01-25,ATM002,urban_residential,476200,149,0,1573000,1643600,0
2021-01-25,ATM003,corporate_park,697100,218,0,2341000,2222500,0
2021-01-25,ATM004,rural_branch,326100,102,0,882000,913500,0
2021-01-25,ATM005,transit_hub,968000,303,0,2345000,2321600,0
2021-01-26,ATM001,metro_retail,821500,257,1,0,1796900,0
2021-01-26,ATM002,urban_residential,498300,156,1,0,1145400,0
2021-01-26,ATM003,corporate_park,591900,185,1,0,1630600,0
2021-01-26,ATM004,rural_branch,275300,86,1,0,638200,0
2021-01-26,ATM005,transit_hub,633000,198,1,0,1688600,0
2021-01-27,ATM001,metro_retail,783900,245,0,0,1013000,0
2021-01-27,ATM002,urban_residential,388900,122,0,0,756500,0
2021-01-27,ATM003,corporate_park,576000,180,0,0,1054600,0
2021-01-27,ATM004,rural_branch,296000,93,0,0,342200,0
2021-01-27,ATM005,transit_hub,753200,235,0,0,935400,0
2021-01-28,ATM001,metro_retail,809200,253,0,2527000,2730800,0
2021-01-28,ATM002,urban_residential,446600,140,0,0,309900,0
2021-01-28,ATM003,corporate_park,647600,202,0,0,407000,0
2021-01-28,ATM004,rural_branch,289200,90,0,898000,951000,0
2021-01-28,ATM005,transit_hub,737200,230,0,2355000,2553200,0
2021-01-29,ATM001,metro_retail,1274700,398,0,0,1456100,0
2021-01-29,ATM002,urban_residential,817700,256,0,1810000,1302200,0
2021-01-29,ATM003,corporate_park,1234900,386,0,2513000,1685100,0
2021-01-29,ATM004,rural_branch,566600,177,0,0,384400,0
2021-01-29,ATM005,transit_hub,1399500,437,0,0,1153700,0
2021-01-30,ATM001,metro_retail,1456100,455,0,0,0,1
2021-01-30,ATM002,urban_residential,1204700,376,0,0,97500,0
2021-01-30,ATM003,corporate_park,1480300,463,0,0,204800,0
2021-01-30,ATM004,rural_branch,532800,166,0,856000,707600,0
2021-01-30,ATM005,transit_hub,1153700,361,0,0,0,1
2021-01-31,ATM001,metro_retail,1549700,484,0,3540000,1990300,0
2021-01-31,ATM002,urban_residential,880400,275,0,2023000,1240000,0
2021-01-31,ATM003,corporate_park,1229000,384,0,2715000,1690800,0
2021-01-31,ATM004,rural_branch,556000,174,0,0,151500,0
2021-01-31,ATM005,transit_hub,1533400,479,0,3290000,1756600,0
2021-02-01,ATM001,metro_retail,1260900,394,0,0,729500,0
2021-02-01,ATM002,urban_residential,804600,251,0,0,435400,0
2021-02-01,ATM003,corporate_park,1179000,368,0,0,511800,0
2021-02-01,ATM004,rural_branch,536700,168,0,1088000,702900,0
2021-02-01,ATM005,transit_hub,1454300,454,0,0,302200,0
2021-02-02,ATM001,metro_retail,1045800,327,0,2811000,2494700,0
2021-02-02,ATM002,urban_residential,614300,192,0,1685000,1506100,0
2021-02-02,ATM003,corporate_park,843700,264,0,2408000,2076100,0
2021-02-02,ATM004,rural_branch,373200,117,0,0,329700,0
2021-02-02,ATM005,transit_hub,974400,304,0,2988000,2315900,0
2021-02-03,ATM001,metro_retail,883200,276,0,0,1611400,0
2021-02-03,ATM002,urban_residential,521900,163,0,0,984200,0
2021-02-03,ATM003,corporate_park,765200,239,0,0,1310900,0
2021-02-03,ATM004,rural_branch,293000,92,0,910000,946700,0
2021-02-03,ATM005,transit_hub,721800,226,0,0,1594100,0
2021-02-04,ATM001,metro_retail,681500,213,0,0,930000,0
2021-02-04,ATM002,urban_residential,426300,133,0,0,557900,0
2021-02-04,ATM003,corporate_park,559000,175,0,0,751900,0
2021-02-04,ATM004,rural_branch,247200,77,0,0,699500,0
2021-02-04,ATM005,transit_hub,776600,243,0,0,817500,0
2021-02-05,ATM001,metro_retail,1032700,323,0,2610000,2507300,0
2021-02-05,ATM002,urban_residential,635000,198,0,1562000,1484900,0
2021-02-05,ATM003,corporate_park,912200,285,0,2168000,2007700,0
2021-02-05,ATM004,rural_branch,414400,130,0,0,285100,0
2021-02-05,ATM005,transit_hub,1092500,341,0,2473000,2198000,0
2021-02-06,ATM001,metro_retail,1267200,396,0,0,1240100,0
2021-02-06,ATM002,urban_residential,829100,259,0,0,655800,0
2021-02-06,ATM003,corporate_park,1116900,349,0,0,890800,0
2021-02-06,ATM004,rural_branch,476200,149,0,955000,763800,0
2021-02-06,ATM005,transit_hub,1284800,402,0,0,913100,0
2021-02-07,ATM001,metro_retail,1222700,382,0,0,17300,0
2021-02-07,ATM002,urban_residential,839600,262,0,1464000,1280200,0
2021-02-07,ATM003,corporate_park,1101400,344,0,2029000,1818400,0
2021-02-07,ATM004,rural_branch,497400,155,0,0,266400,0
2021-02-07,ATM005,transit_hub,1411200,441,0,2377000,1878900,0
2021-02-08,ATM001,metro_retail,863000,270,0,3523000,2677300,0
2021-02-08,ATM002,urban_residential,522500,163,0,0,757700,0
2021-02-08,ATM003,corporate_park,751600,235,0,0,1066800,0
2021-02-08,ATM004,rural_branch,334900,105,0,974000,905500,0
2021-02-08,ATM005,transit_hub,769500,240,0,0,1109400,0
2021-02-09,ATM001,metro_retail,701000,219,0,0,1976300,0
2021-02-09,ATM002,urban_residential,422400,132,0,0,335300,0
2021-02-09,ATM003,corporate_park,620700,194,0,0,446100,0
2021-02-09,ATM004,rural_branch,254500,80,0,0,651000,0
2021-02-09,ATM005,transit_hub,711300,222,0,2181000,2579100,0
2021-02-10,ATM001,metro_retail,744800,233,0,0,1231500,0
2021-02-10,ATM002,urban_residential,435100,136,0,1785000,1685200,0
2021-02-10,ATM003,corporate_park,549800,172,0,2474000,2370200,0
2021-02-10,ATM004,rural_branch,254400,79,0,0,396600,0
2021-02-10,ATM005,transit_hub,723200,226,0,0,1855900,0
2021-02-11,ATM001,metro_retail,768800,240,0,2309000,2771600,0
2021-02-11,ATM002,urban_residential,446700,140,0,0,1238500,0
2021-02-11,ATM003,corporate_park,595400,186,0,0,1774800,0
2021-02-11,ATM004,rural_branch,245900,77,0,843000,993700,0
2021-02-11,ATM005,transit_hub,717700,224,0,0,1138100,0
2021-02-12,ATM001,metro_retail,1066000,333,0,0,1705600,0
2021-02-12,ATM002,urban_residential,630000,197,0,0,608500,0
2021-02-12,ATM003,corporate_park,832200,260,0,0,942600,0
2021-02-12,ATM004,rural_branch,447200,140,0,0,546500,0
2021-02-12,ATM005,transit_hub,1007600,315,0,2152000,2282600,0
2021-02-13,ATM001,metro_retail,1418800,443,0,0,286800,0
2021-02-13,ATM002,urban_residential,823500,257,0,1511000,1296000,0
2021-02-13,ATM003,corporate_park,1194700,373,0,1977000,1724900,0
2021-02-13,ATM004,rural_branch,514800,161,0,0,31700,0
2021-02-13,ATM005,transit_hub,1167200,365,0,0,1115300,0
2021-02-14,ATM001,metro_retail,1210600,378,0,3253000,2329100,0
2021-02-14,ATM002,urban_residential,684000,214,0,0,612000,0
2021-02-14,ATM003,corporate_park,962400,301,0,0,762500,0
2021-02-14,ATM004,rural_branch,488400,153,0,1208000,751300,0
2021-02-14,ATM005,transit_hub,1224900,383,0,2175000,2065500,0
2021-02-15,ATM001,metro_retail,1061700,332,0,0,1267400,0
2021-02-15,ATM002,urban_residential,581100,182,0,1508000,1538900,0
2021-02-15,ATM003,corporate_park,868600,271,0,2157000,2050900,0
2021-02-15,ATM004,rural_branch,344600,108,0,0,406700,0
2021-02-15,ATM005,transit_hub,948300,296,0,0,1117200,0
2021-02-16,ATM001,metro_retail,722600,226,0,0,544800,0
2021-02-16,ATM002,urban_residential,450000,141,0,0,1088900,0
2021-02-16,ATM003,corporate_park,705400,220,0,0,1345600,0
2021-02-16,ATM004,rural_branch,244500,76,0,833000,995200,0
2021-02-16,ATM005,transit_hub,660800,207,0,2173000,2629400,0
2021-02-17,ATM001,metro_retail,778400,243,0,2995000,2761400,0
2021-02-17,ATM002,urban_residential,394300,123,0,0,694600,0
2021-02-17,ATM003,corporate_park,524000,164,0,0,821600,0
2021-02-17,ATM004,rural_branch,243900,76,0,0,751300,0
2021-02-17,ATM005,transit_hub,623300,195,0,0,2006100,0
2021-02-18,ATM001,metro_retail,732200,229,0,0,2029200,0
2021-02-18,ATM002,urban_residential,490900,153,0,1425000,1628700,0
2021-02-18,ATM003,corporate_park,700700,219,0,2098000,2218900,0
2021-02-18,ATM004,rural_branch,245500,77,0,0,505700,0
2021-02-18,ATM005,transit_hub,671000,210,0,0,1335100,0
2021-02-19,ATM001,metro_retail,1121600,351,0,0,907500,0
2021-02-19,ATM002,urban_residential,648600,203,0,0,980100,0
2021-02-19,ATM003,corporate_park,866800,271,0,0,1352100,0
2021-02-19,ATM004,rural_branch,404500,126,0,0,101300,0
2021-02-19,ATM005,transit_hub,1101800,344,0,0,233400,0
2021-02-20,ATM001,metro_retail,1404300,439,0,2632000,2135300,0
2021-02-20,ATM002,urban_residential,754700,236,0,0,225400,0
2021-02-20,ATM003,corporate_park,1187400,371,0,0,164700,0
2021-02-20,ATM004,rural_branch,524400,164,0,1139000,715900,0
2021-02-20,ATM005,transit_hub,1543100,482,0,3057000,1747300,0
2021-02-21,ATM001,metro_retail,1265500,395,0,0,869800,0
2021-02-21,ATM002,urban_residential,733200,229,0,1895000,1387100,0
2021-02-21,ATM003,corporate_park,1070500,335,0,2755000,1849200,0
2021-02-21,ATM004,rural_branch,404100,126,0,0,311800,0
2021-02-21,ATM005,transit_hub,1177500,368,0,0,569800,0
2021-02-22,ATM001,metro_retail,1018700,318,0,2670000,2521100,0
2021-02-22,ATM002,urban_residential,565800,177,0,0,821400,0
2021-02-22,ATM003,corporate_park,809600,253,0,0,1039500,0
2021-02-22,ATM004,rural_branch,320600,100,0,928000,919200,0
2021-02-22,ATM005,transit_hub,820600,256,0,2720000,2469300,0
2021-02-23,ATM001,metro_retail,710300,222,0,0,1810800,0
2021-02-23,ATM002,urban_residential,460700,144,0,0,360700,0
2021-02-23,ATM003,corporate_park,638300,199,0,0,401300,0
2021-02-23,ATM004,rural_branch,268500,84,0,0,650800,0
2021-02-23,ATM005,transit_hub,675500,211,0,0,1793700,0
2021-02-24,ATM001,metro_retail,696700,218,0,0,1114100,0
2021-02-24,ATM002,urban_residential,462200,144,0,1759000,1657500,0
2021-02-24,ATM003,corporate_park,568700,178,0,2519000,2351600,0
2021-02-24,ATM004,rural_branch,234000,73,0,0,416800,0
2021-02-24,ATM005,transit_hub,642100,201,0,0,1151700,0
2021-02-25,ATM001,metro_retail,744300,233,0,2426000,2795800,0
2021-02-25,ATM002,urban_residential,441400,138,0,0,1216100,0
2021-02-25,ATM003,corporate_park,625100,195,0,0,1726500,0
2021-02-25,ATM004,rural_branch,257400,80,0,823000,982400,0
2021-02-25,ATM005,transit_hub,678000,212,0,0,473700,0
2021-02-26,ATM001,metro_retail,1391900,435,0,0,1403900,0
2021-02-26,ATM002,urban_residential,791100,247,0,0,425000,0
2021-02-26,ATM003,corporate_park,1051000,328,0,0,675500,0
2021-02-26,ATM004,rural_branch,575400,180,0,0,407000,0
2021-02-26,ATM005,transit_hub,1463500,457,0,2816000,1826200,0
2021-02-27,ATM001,metro_retail,1403900,439,0,0,0,1
2021-02-27,ATM002,urban_residential,1029200,322,0,1695000,1090800,0
2021-02-27,ATM003,corporate_park,1536600,480,0,2244000,1382900,0
2021-02-27,ATM004,rural_branch,590200,184,0,833000,649700,0
2021-02-27,ATM005,transit_hub,1509500,472,0,0,316600,0
2021-02-28,ATM001,metro_retail,1379800,431,0,3540000,2160200,0
2021-02-28,ATM002,urban_residential,873300,273,0,0,217500,0
2021-02-28,ATM003,corporate_park,1243800,389,0,0,139100,0
2021-02-28,ATM004,rural_branch,526200,164,0,0,123600,0
2021-02-28,ATM005,transit_hub,1470200,459,0,2973000,1819400,0
2021-03-01,ATM001,metro_retail,1546700,483,0,0,613500,0
2021-03-01,ATM002,urban_residential,770300,241,0,1903000,1350200,0
2021-03-01,ATM003,corporate_park,1122400,351,0,2781000,1797700,0
2021-03-01,ATM004,rural_branch,617700,193,0,1116000,621900,0
2021-03-01,ATM005,transit_hub,1315100,411,0,0,504300,0
2021-03-02,ATM001,metro_retail,945900,296,0,2926000,2593600,0
2021-03-02,ATM002,urban_residential,602100,188,0,0,748100,0
2021-03-02,ATM003,corporate_park,812700,254,0,0,985000,0
2021-03-02,ATM004,rural_branch,282700,88,0,0,339200,0
2021-03-02,ATM005,transit_hub,877600,274,0,2786000,2412700,0
2021-03-03,ATM001,metro_retail,846000,264,0,0,1747600,0
2021-03-03,ATM002,urban_residential,533800,167,0,0,214400,0
2021-03-03,ATM003,corporate_park,786200,246,0,1935000,2133800,0
2021-03-03,ATM004,rural_branch,280700,88,0,901000,959500,0
2021-03-03,ATM005,transit_hub,789000,247,0,0,1623700,0
2021-03-04,ATM001,metro_retail,728600,228,0,0,1019100,0
2021-03-04,ATM002,urban_residential,438000,137,0,1906000,1682400,0
2021-03-04,ATM003,corporate_park,573400,179,0,0,1560300,0
2021-03-04,ATM004,rural_branch,321500,100,0,0,638000,0
2021-03-04,ATM005,transit_hub,729900,228,0,0,893800,0
2021-03-05,ATM001,metro_retail,969200,303,0,2521000,2570900,0
2021-03-05,ATM002,urban_residential,607800,190,0,0,1074600,0
2021-03-05,ATM003,corporate_park,809600,253,0,0,750700,0
2021-03-05,ATM004,rural_branch,364100,114,0,0,273800,0
2021-03-05,ATM005,transit_hub,1055500,330,0,2396000,2234300,0
2021-03-06,ATM001,metro_retail,1401700,438,0,0,1169200,0
2021-03-06,ATM002,urban_residential,847200,265,0,0,227400,0
2021-03-06,ATM003,corporate_park,1155600,361,0,2169000,1764100,0
2021-03-06,ATM004,rural_branch,515300,161,0,966000,724600,0
2021-03-06,ATM005,transit_hub,1429600,447,0,0,804700,0
2021-03-07,ATM001,metro_retail,1278000,399,0,2371000,2262200,0
2021-03-07,ATM002,urban_residential,764900,239,0,1893000,1355500,0
2021-03-07,ATM003,corporate_park,1136400,355,0,0,627700,0
2021-03-07,ATM004,rural_branch,580600,181,0,0,143900,0
2021-03-07,ATM005,transit_hub,1360700,425,0,2485000,1929000,0
2021-03-08,ATM001,metro_retail,1141700,357,1,0,1120400,0
2021-03-08,ATM002,urban_residential,599000,187,1,0,756400,0
2021-03-08,ATM003,corporate_park,824300,258,1,2292000,2095400,0
2021-03-08,ATM004,rural_branch,355600,111,1,1096000,884300,0
2021-03-08,ATM005,transit_hub,1028700,321,1,0,900300,0
2021-03-09,ATM001,metro_retail,744600,233,0,2420000,2795900,0
2021-03-09,ATM002,urban_residential,433000,135,0,0,323500,0
2021-03-09,ATM003,corporate_park,741100,232,0,0,1354300,0
2021-03-09,ATM004,rural_branch,244600,76,0,0,639700,0
2021-03-09,ATM005,transit_hub,683400,214,0,2390000,2606900,0
2021-03-10,ATM001,metro_retail,715700,224,0,0,2080200,0
2021-03-10,ATM002,urban_residential,419100,131,0,1797000,1701300,0
2021-03-10,ATM003,corporate_park,552800,173,0,0,801400,0
2021-03-10,ATM004,rural_branch,263900,82,0,0,375900,0
2021-03-10,ATM005,transit_hub,678800,212,0,0,1928100,0
2021-03-11,ATM001,metro_retail,796100,249,0,0,1284100,0
2021-03-11,ATM002,urban_residential,421000,132,0,0,1280300,0
2021-03-11,ATM003,corporate_park,696800,218,0,2119000,2223600,0
2021-03-11,ATM004,rural_branch,267100,83,0,864000,972700,0
2021-03-11,ATM005,transit_hub,647600,202,0,0,1280500,0
2021-03-12,ATM001,metro_retail,1210300,378,0,0,73700,0
2021-03-12,ATM002,urban_residential,678800,212,0,0,601500,0
2021-03-12,ATM003,corporate_park,906300,283,0,0,1317300,0
2021-03-12,ATM004,rural_branch,360600,113,0,0,612100,0
2021-03-12,ATM005,transit_hub,937900,293,0,0,342600,0
2021-03-13,ATM001,metro_retail,1335200,417,0,3466000,2204500,0
2021-03-13,ATM002,urban_residential,878100,274,0,1518000,1241400,0
2021-03-13,ATM003,corporate_park,1056500,330,0,0,260800,0
2021-03-13,ATM004,rural_branch,484600,151,0,0,127500,0
2021-03-13,ATM005,transit_hub,1235700,386,0,2947000,2054000,0
2021-03-14,ATM001,metro_retail,1173000,367,0,0,1031500,0
2021-03-14,ATM002,urban_residential,723000,226,0,0,518400,0
2021-03-14,ATM003,corporate_park,912800,285,0,2659000,2007000,0
2021-03-14,ATM004,rural_branch,374600,117,0,1112000,864900,0
2021-03-14,ATM005,transit_hub,1170100,366,0,0,883900,0
2021-03-15,ATM001,metro_retail,1126200,352,0,2509000,2414300,0
2021-03-15,ATM002,urban_residential,622500,195,0,1602000,1497900,0
2021-03-15,ATM003,corporate_park,979600,306,0,0,1027400,0
2021-03-15,ATM004,rural_branch,383600,120,0,0,481300,0
2021-03-15,ATM005,transit_hub,986700,308,0,2406000,2303200,0
2021-03-16,ATM001,metro_retail,664100,208,0,0,1750200,0
2021-03-16,ATM002,urban_residential,454500,142,0,0,1043400,0
2021-03-16,ATM003,corporate_park,704000,220,0,0,323400,0
2021-03-16,ATM004,rural_branch,282600,88,0,0,198700,0
2021-03-16,ATM005,transit_hub,750100,234,0,0,1553100,0
2021-03-17,ATM001,metro_retail,781000,244,0,0,969200,0
2021-03-17,ATM002,urban_residential,426500,133,0,0,617000,0
2021-03-17,ATM003,corporate_park,487600,152,0,2597000,2432800,0
2021-03-17,ATM004,rural_branch,249700,78,0,1041000,990000,0
2021-03-17,ATM005,transit_hub,708200,221,0,0,844900,0
2021-03-18,ATM001,metro_retail,731200,229,0,2571000,2809000,0
2021-03-18,ATM002,urban_residential,483400,151,0,1503000,1636600,0
2021-03-18,ATM003,corporate_park,658600,206,0,0,1774200,0
2021-03-18,ATM004,rural_branch,263700,82,0,0,726300,0
2021-03-18,ATM005,transit_hub,907200,284,0,2445000,2382700,0
2021-03-19,ATM001,metro_retail,1093700,342,0,0,1715300,0
2021-03-19,ATM002,urban_residential,720100,225,0,0,916500,0
2021-03-19,ATM003,corporate_park,937200,293,0,0,837100,0
2021-03-19,ATM004,rural_branch,402300,126,0,0,324000,0
2021-03-19,ATM005,transit_hub,892000,279,0,0,1490600,0
2021-03-20,ATM001,metro_retail,1398400,437,0,0,317000,0
2021-03-20,ATM002,urban_residential,833100,260,0,0,83400,0
2021-03-20,ATM003,corporate_park,1207300,377,0,2083000,1712700,0
2021-03-20,ATM004,rural_branch,466200,146,0,916000,773800,0
2021-03-20,ATM005,transit_hub,1267100,396,0,0,223500,0
2021-03-21,ATM001,metro_retail,1313600,410,0,3223000,2226400,0
2021-03-21,ATM002,urban_residential,744200,233,0,2037000,1376300,0
2021-03-21,ATM003,corporate_park,974100,304,0,0,738700,0
2021-03-21,ATM004,rural_branch,415600,130,0,0,358200,0
2021-03-21,ATM005,transit_hub,1103700,345,0,3066000,2185800,0
2021-03-22,ATM001,metro_retail,940100,294,0,0,1286300,0
2021-03-22,ATM002,urban_residential,596700,186,0,0,779600,0
2021-03-22,ATM003,corporate_park,705300,220,0,2181000,2214400,0
2021-03-22,ATM004,rural_branch,331200,103,0,882000,909000,0
2021-03-22,ATM005,transit_hub,811300,254,0,0,1374500,0
2021-03-23,ATM001,metro_retail,800000,250,0,0,486300,0
2021-03-23,ATM002,urban_residential,428200,134,0,0,351400,0
2021-03-23,ATM003,corporate_park,747400,234,0,0,1467000,0
2021-03-23,ATM004,rural_branch,301800,94,0,0,607200,0
2021-03-23,ATM005,transit_hub,620200,194,0,0,754300,0
2021-03-24,ATM001,metro_retail,757000,237,0,3054000,2783200,0
2021-03-24,ATM002,urban_residential,395300,124,0,1769000,1725100,0
2021-03-24,ATM003,corporate_park,633600,198,0,0,833400,0
2021-03-24,ATM004,rural_branch,253000,79,0,0,354200,0
2021-03-24,ATM005,transit_hub,674700,211,0,2536000,2615600,0
